IP,Time,URL,Status,Method,HTTP
10.131.0.1,2017-11-29 14:33:22,/css/normalize.css,304,GET,HTTP/1.1
10.131.2.1,2017-11-29 14:33:22,/css/main.css,304,GET,HTTP/1.1
10.131.0.1,2017-11-29 14:33:22,/css/style.css,304,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:33:23,/js/vendor/modernizr-2.8.3.min.js,304,GET,HTTP/1.1
10.131.2.1,2017-11-29 14:33:23,/js/vendor/jquery-1.12.0.min.js,304,GET,HTTP/1.1
10.131.2.1,2017-11-29 14:33:23,/bootstrap-3.3.7/js/bootstrap.min.js,304,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:33:23,/js/vendor/moment.min.js,304,GET,HTTP/1.1
10.131.2.1,2017-11-29 14:33:26,/,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 14:38:07,/compiler.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 14:38:08,/home.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 14:38:09,/bootstrap-3.3.7/js/bootstrap.js,304,GET,HTTP/1.1
10.130.2.1,2017-11-29 14:38:13,/compiler.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:38:40,/contest.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:38:43,/home.php,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 14:52:51,/home.php,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 14:53:22,/compiler.php,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 14:53:24,/home.php,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 14:54:55,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:55:46,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:55:53,/contestproblem.php?name=RUET%20OJ%20TLE%20Testing%20Contest,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:55:56,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:56:00,/contest.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:56:04,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 14:56:08,/logout.php,302,GET,HTTP/1.1
10.129.2.1,2017-11-29 14:56:08,/login.php,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 14:56:17,/process.php,302,POST,HTTP/1.1
10.129.2.1,2017-11-29 14:56:18,/home.php,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 15:00:05,/contest.php,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:00:53,/,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:00:53,/fonts/fontawesome-webfont.woff2?v=4.6.3,304,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:00:55,/contest.php,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:01:00,/home.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:01:04,/contest.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:04:07,/contest.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:04:10,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,302,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:04:11,/countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
